Name,Role,Birthday,Region,Constellation Level
旅行者·空,近战输出/元素反应（风/岩/草）,6/18,坎瑞亚,5
旅行者·荧,近战输出/元素反应（风/岩/草）,6/18,坎瑞亚,5
安柏,火元素侦察/远程输出,8/10,蒙德,4
凯亚,冰元素辅助/速切输出,11/30,蒙德,4
丽莎,雷元素持续输出/后台辅助,6/9,蒙德,3
琴,治疗/风元素爆发/减抗辅助,3/14,蒙德,6
迪卢克,火元素站场主C,4/30,蒙德,4
温迪,风元素聚怪/增伤辅助,6/16,蒙德,6
可莉,火元素范围爆破/站场主C,7/27,蒙德,5
班尼特,火元素增伤/治疗辅助,2/29,蒙德,6
菲谢尔,雷元素后台持续输出,5/27,蒙德,5
砂糖,风元素扩散增伤/精通辅助,2/28,蒙德,4
莫娜,水元素增伤/后台挂水,8/31,蒙德,5
迪奥娜,冰元素护盾/治疗辅助,1/18,蒙德,6
优菈,物理站场主C/爆发输出,10/17,蒙德,6
阿贝多,岩元素后台持续输出/辅助,9/13,蒙德,4
罗莎莉亚,冰元素暴击辅助/速切输出,1/24,蒙德,5
埃洛伊,冰元素远程输出（联动角色）,4/20,联动,3
米卡,物理增伤/攻速辅助,1/29,蒙德,5
夏洛蒂,冰元素治疗/护盾辅助,12/2,蒙德,4
香菱,火元素后台持续输出/副C,10/1,璃月,6
重云,冰元素附魔辅助/范围输出,12/23,璃月,5
行秋,水元素后台挂水/增伤辅助,3/10,璃月,6
凝光,岩元素站场主C/远程输出,8/26,璃月,4
北斗,雷元素护盾/反击输出,2/14,璃月,5
魈,风元素下落攻击主C,4/17,璃月,6
钟离,岩元素护盾/减抗辅助,12/31,璃月,6
甘雨,冰元素远程重击主C/副C,12/2,璃月,3
胡桃,火元素爆发站场主C,7/15,璃月,6
烟绯,火元素远程持续输出,7/28,璃月,4
申鹤,冰元素增伤辅助/专拐,3/10,璃月,5
云堇,普攻增伤辅助/防御拐,5/21,璃月,6
夜兰,水元素后台副C/机动输出,4/20,璃月,3
白术,草元素治疗/护盾辅助,1/19,璃月,5
闲云,风元素下落攻击辅助/专拐,12/11,璃月,6
瑶瑶,草元素治疗/后台挂草,8/5,璃月,4
神里绫华,冰元素速切爆发主C,9/28,稻妻,5
雷电将军,雷元素充能辅助/爆发主C,6/26,稻妻,3
早柚,风元素治疗/隐身辅助,6/25,稻妻,4
宵宫,火元素远程普攻主C,6/21,稻妻,5
神里绫人,水元素速切爆发副C/主C,4/26,稻妻,4
托马,火元素护盾/后台挂火,1/9,稻妻,6
珊瑚宫心海,水元素治疗/后台挂水,2/22,稻妻,1
五郎,岩元素防御增伤辅助/专拐,8/13,稻妻,5
久岐忍,雷元素治疗/后台持续输出,10/24,稻妻,4
鹿野院平藏,风元素近战速切输出,7/24,稻妻,5
枫原万叶,风元素扩散增伤/精通辅助,10/29,稻妻,6
荒泷一斗,岩元素站场主C/普攻爆发,6/1,稻妻,5
八重神子,雷元素后台爆发输出,6/27,稻妻,4
流浪者,风元素浮空持续输出,1/9,稻妻,6
珐露珊,风元素减抗辅助/精通拐,1/16,须弥,6
提纳里,草元素远程重击主C,12/29,须弥,5
柯莱,草元素后台挂草/辅助,5/8,须弥,4
多莉,雷元素充能/治疗辅助,12/10,须弥,3
赛诺,雷元素站场主C/激化输出,6/16,须弥,5
妮露,水元素绽放队核心辅助,12/2,须弥,6
纳西妲,草元素反应核心/增伤辅助,10/27,须弥,2
莱依拉,冰元素护盾/后台挂冰,12/19,须弥,4
艾尔海森,草元素速切爆发主C/副C,2/11,须弥,5
卡维,草元素后台持续输出/辅助,8/9,须弥,5
迪希雅,火元素前台抗打断/输出,3/10,纳塔,4
玛拉妮,火元素后台持续输出/辅助,7/21,纳塔,4
卡齐娜,火元素近战输出/协同攻击,8/18,纳塔,5
基尼奇,雷元素近战输出/切换形态,10/12,纳塔,5
茜特拉莉,草元素后台挂草/治疗辅助,9/5,纳塔,4
林尼,火元素速切爆发主C,6/21,枫丹,5
琳妮特,风元素聚怪/后台辅助,12/2,枫丹,4
菲米尼,冰元素潜水辅助/输出,1/15,枫丹,3
那维莱特,水元素站场主C/爆发输出,12/18,枫丹,6
芙宁娜,水元素增伤/生命值拐核心辅助,10/13,枫丹,2
莱欧斯利,冰元素站场主C/近战输出,11/1,枫丹,5
希格雯,水元素治疗/护盾辅助,3/14,枫丹,4
娜维娅,岩元素速切爆发主C/副C,12/14,枫丹,5
克洛琳德,雷元素速切爆发主C/近战输出,9/22,枫丹,6
